(1.0, 0.0)
(0.1, 0.0)
(1.0, 0.0)
(0.11169695013480684, 6.802106410949062E-5)
(0.1343754114859845, 2.5149924576292127E-4)
(0.1426061011930556, 0.0)
(0.9998054569117047, 0.0)
(0.1040946356979381, 0.0013312822536759854)
(0.1370488145577106, 0.0015044069613217085)
(0.11011816809649862, 0.0)
(0.10261324157079675, 6.25039603735171E-4)
(0.1049272832135547, 0.0)
(0.1357831860852159, 0.0)
(0.10687982676848223, 0.0015318648862654135)
(0.1411788214263888, 0.0)
(0.13963698500828206, 0.0)
(0.146267513412403, 0.0)
(0.10077306270535118, 0.0)
(0.14253428976626858, 0.0)
(0.9995456833234035, 7.249387059396657E-5)
(0.10346184923821405, 1.7978548553324725E-4)
(0.10293273641906475, 4.8588638769848615E-4)
(0.10581110405540181, 0.0)
(0.10281545286904109, 3.8186494910717446E-5)
(0.10389786031807097, 0.0014591884742244877)
(0.10350901332918075, 0.0)
(0.14554115725225206, 0.0)
(0.9997496162722516, 0.0)
(0.1109270338155084, 3.32840194585259E-4)
(0.1104984743131162, 0.0012190719713253964)
(0.13812571512205526, 2.6070424136281786E-4)
(0.11164357188083063, 0.0)
(0.10050116325820796, 0.0011014385996412242)
(0.11288154695740436, 0.0)
(0.10056853789263766, 0.0)
(0.11133225614806842, 6.839571849290612E-6)
(0.1, 0.0)
(0.10027008102450939, 2.858852978151241E-4)
(0.10481664260806806, 0.0010654816465129823)
(0.9972310650240982, 0.0)
(0.14028194962114393, 0.0)
(0.11131660805583926, 4.644163981090115E-4)
(0.1120654697039874, 0.0)
(0.10053475066709743, 0.0)
(0.1024623054175354, 3.754285065154188E-4)
(0.11400661020009177, 0.0)
(0.9983493827016197, 0.0)
(0.11368909616279994, 4.0981262063230706E-4)
(0.14040058698321406, 0.0)
(0.10160847820232508, 0.0)
(0.10135607666795284, 7.897421907326442E-4)
(0.10520624969428843, 0.0)
(0.13897010486775738, 2.546626284069572E-4)
(0.14309476932828652, 0.0)
(0.10445493957978014, 0.0013688738121867894)
(0.14345940388236295, 8.150440058443096E-4)
(0.1415418338738701, 0.0)
(0.11349083286306615, 0.0011891416563252826)
(0.10981620548084443, 9.019797239328035E-5)
(0.998824229931161, 0.0)
(0.10945176953292993, 0.002523307409759515)
(0.10781777914612276, 0.0)
(0.10992625687192817, 9.73014762909783E-6)
(0.1, 0.0)
(1.0, 0.0)
(0.10762086017799911, 0.0)
(0.997733163908179, 0.0)
(0.10100910520966241, 1.1025517975015627E-4)
(1.0, 0.0)
(0.14214698480464652, 0.0)
(0.10500904400542527, 0.0)
(0.9987627484987475, 0.0)
(0.10742948498966445, 0.0)
(0.10099699638760362, 0.0011894486487692617)
(0.11100785056841554, 2.5169129106105716E-4)
(0.10537255868421869, 0.0)
(0.10644329968340564, 0.0)
(0.10462962633645377, 1.8874374717391858E-4)
(0.10768032655816431, 0.0)
(0.9999971705452947, 1.5571893284691351E-4)
(0.10343191753158229, 0.0)
(1.0, 0.0)
(1.0, 0.0)
(0.10269975783764008, 0.0)
(0.11191954238191218, 9.696424274337983E-4)
(0.10311374484396661, 0.0)
(0.14008344439622405, 0.0)
(1.0, 0.0)
------------------
(0.9999887823201994, 4.194950351652194E-4)
(0.10593987753838315, 0.0012909103079342564)
(0.10084137435412474, 6.967726508533968E-4)
(0.11403911073284087, 0.0018597052066515105)
(0.9990276441036555, 9.68686107143512E-4)
(1.0, 1.5442904531098436E-4)
(0.10080418804718565, 7.353919282509544E-4)
(0.10590478366807918, 0.001141232093920836)
(0.1, 2.3479290004949462E-4)
------------------
(1.0, 2.699238142806925E-4)
(0.10089648679847617, 0.0017213377732781317)
------------------
(1.0, 0.0011601120083444042)
------------------
